IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.26.14.254,4,4,0.00,126.48,3.40
104.26.8.42,4,4,0.00,125.32,2.67
104.26.15.50,4,4,0.00,124.91,2.57
104.26.1.6,4,4,0.00,125.55,1.18
172.65.237.116,4,4,0.00,125.16,0.00
104.26.3.204,4,4,0.00,125.57,0.00
172.67.79.216,4,4,0.00,122.97,0.00
172.67.73.236,4,4,0.00,126.71,0.00
104.26.10.197,4,4,0.00,126.90,0.00
172.67.69.94,4,4,0.00,127.01,0.00
