IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.20.29.243,4,4,0.00,124.36,7.05
162.159.128.69,4,4,0.00,123.06,4.41
104.20.19.111,4,4,0.00,125.22,3.02
104.20.22.253,4,4,0.00,124.87,2.78
172.67.70.209,4,4,0.00,124.57,2.30
172.67.79.19,4,4,0.00,124.57,0.00
172.65.227.117,4,4,0.00,124.61,0.00
172.67.72.179,4,4,0.00,123.53,0.00
104.20.21.134,4,4,0.00,125.11,0.00
172.65.225.207,4,4,0.00,124.55,0.00
