IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.20.152.169,4,1,0.75,254.81,32.44
104.21.88.232,4,2,0.50,803.93,30.45
104.18.59.253,4,2,0.50,527.21,16.15
104.21.98.142,4,2,0.50,803.91,14.11
141.101.121.251,4,1,0.75,205.55,11.99
104.21.91.44,4,2,0.50,515.94,10.21
104.26.11.207,4,3,0.25,262.56,7.07
104.20.153.111,4,1,0.75,258.16,5.96
141.101.90.9,4,2,0.50,426.86,0.00
172.65.230.29,4,1,0.75,228.47,0.00
