IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.143.212,4,4,0.00,122.50,0.91
162.159.153.17,4,4,0.00,124.47,0.82
162.159.133.95,4,4,0.00,124.65,0.80
172.65.224.83,4,4,0.00,123.94,0.00
104.26.6.4,4,4,0.00,124.13,0.00
172.65.239.132,4,4,0.00,124.17,0.00
172.65.226.236,4,4,0.00,124.29,0.00
172.65.233.185,4,4,0.00,122.85,0.00
172.65.234.118,4,4,0.00,124.85,0.00
104.26.12.54,4,4,0.00,124.89,0.00
