IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.67.64.82,4,4,0.00,123.84,2.70
162.159.136.224,4,4,0.00,122.38,2.37
172.67.73.71,4,4,0.00,122.09,1.38
162.159.135.71,4,4,0.00,123.20,1.33
172.67.79.24,4,4,0.00,123.48,1.18
104.26.3.105,4,4,0.00,123.70,0.76
172.67.74.208,4,4,0.00,122.25,0.00
172.67.71.92,4,4,0.00,123.48,0.00
104.20.23.91,4,4,0.00,123.84,0.00
104.26.15.236,4,4,0.00,124.10,0.00
